ball,small_communities,rural_communites,majorityL3L4q,majorityP16to49_age,dnone50,GP_above1,VeryGoodhealth,PH_above1,size
0,26.598250336473754,26.917900403768506,43.808882907133246,4.912516823687752,48.620457604306864,55.06393001345895,27.641318977119784,63.18977119784657,5944
1,2.898550724637681,0.0,43.47826086956522,78.26086956521739,0.0,43.47826086956522,18.84057971014493,46.3768115942029,69
2,28.4058487874465,29.44008559201141,51.33737517831669,5.099857346647646,58.16690442225392,51.55135520684736,34.59343794579173,59.98573466476462,5608
3,4.878048780487805,0.0,100.0,100.0,51.21951219512195,63.41463414634146,90.2439024390244,65.85365853658537,41
4,33.83545770567787,32.90845886442642,14.25260718424102,4.866743916570105,21.436848203939746,55.73580533024334,5.44611819235226,59.559675550405565,863
5,1.7356475300400533,0.0,30.574098798397863,36.58210947930574,2.53671562082777,69.69292389853138,32.176234979973295,77.4365821094793,749
6,13.333333333333334,10.0,100.0,83.33333333333334,50.0,50.0,46.666666666666664,53.333333333333336,30
7,0.33444816053511706,0.33444816053511706,96.65551839464884,86.2876254180602,69.56521739130434,84.94983277591973,82.2742474916388,87.29096989966555,299
8,0.0,0.0,51.627906976744185,72.09302325581395,4.186046511627907,93.95348837209302,46.51162790697674,96.27906976744185,215
9,0.0,0.0,100.0,100.0,82.45614035087719,63.1578947368421,91.22807017543859,56.14035087719298,57
10,10.667823070251519,5.782017924255565,45.70685169124024,19.9479618386817,37.09164498409945,58.94767273778548,34.46082682856317,69.58658571841573,3459
11,80.0,80.0,20.0,60.0,80.0,80.0,0.0,20.0,5
12,10.759493670886076,14.556962025316455,97.46835443037975,49.36708860759494,77.84810126582279,67.72151898734177,67.72151898734177,64.55696202531645,158
13,30.797665369649806,31.809338521400775,51.77042801556421,2.8988326848249026,58.89105058365759,49.59143968871595,32.93774319066148,58.03501945525292,5140
14,19.08033826638478,7.452431289640591,4.968287526427061,5.9196617336152215,6.659619450317125,52.74841437632135,3.54122621564482,65.38054968287527,1892
15,39.52434881087203,36.693091732729336,20.2718006795017,0.0,26.896942242355603,48.924122310305776,0.9626274065685164,58.66364665911665,1766
16,14.083769633507853,9.162303664921465,28.79581151832461,12.460732984293193,33.19371727748691,55.07853403141362,24.293193717277486,66.12565445026178,1910
17,1.7467248908296942,0.8733624454148471,99.85443959243085,52.54730713245998,75.9825327510917,68.41339155749637,93.30422125181951,77.43813682678311,687
18,0.5681818181818182,0.1893939393939394,72.53787878787878,67.42424242424242,23.295454545454543,75.9469696969697,72.1590909090909,84.0909090909091,528
19,54.054054054054056,78.37837837837837,70.27027027027027,35.13513513513514,94.5945945945946,89.1891891891892,62.16216216216216,21.62162162162162,37
20,55.55555555555556,48.148148148148145,100.0,3.7037037037037033,100.0,55.55555555555556,88.88888888888889,59.25925925925925,27
