,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
pop_density_sqrkilometer,-0.1906991907248924,1.1140465444782703,-0.2477471817576643,1.0038452819837609,-0.3552684398369734,1.1682659506863442,0.10345657907555088,1.6125371626034712,1.7192116656948937,1.5077510624466324,0.42686229987573643,-0.8102749029216947,0.05475066124580317,-0.31715866248197366,0.08465028977279694,-0.43315196435239783,0.14378416834946103,1.3383795306176698,1.72600734129619,-0.7653604323898879,-0.6677080049572313
Pborn_Europe,0.23630608726041136,-1.897179266240868,0.2636663104646617,-0.9404999656282984,0.47054609434846884,-1.7421012492726382,-0.31959512151305286,-1.4106567086104729,-2.520316427517362,-1.6781692446444674,-0.3049742667599635,0.45844733562224943,-0.4736577257675599,0.33675119399585024,0.25400587456046925,0.594227071797769,-0.21152378304387184,-1.2904082764959037,-1.8966601326767498,0.0017695565424144086,-0.03961723171238124
total_population,-0.08832314952693539,1.050995015990404,-0.18714599353552236,0.8494639213890538,-0.33821835124879923,1.0978262915329957,0.12197136862196671,0.9716808155209274,1.7958873741903292,0.8265086032620367,0.33286024611458076,-0.8771029255793825,0.11176237146876335,-0.27831907284182494,-0.033833961877320295,-0.5132010406551302,0.12823021455076403,0.6632135370074944,1.1182699466617583,-0.6827532248797534,-0.7343863297452826
Ptotal_populationF,0.07058755348749987,-1.8766992187637581,0.0559747730502647,-0.5076151792623758,-0.9920216100692341,-0.21135035942891559,1.6319239794588551,-0.6286486120202243,-0.45593749505277203,-1.5746249380932558,-0.03385724885535329,-11.808776622954015,-1.0046243754031678,0.13279649041082423,-0.12697082945515925,0.30691707363527826,-0.38363710064676254,0.2461788976642455,0.042284760274946154,-5.776499971776217,2.053719151965946
Ptotal_populationM,-0.07058932487230267,1.8767137769909905,-0.05596463276139565,0.5076266078728562,0.9920341459941209,0.2113611108016835,-1.634270922897881,0.6286603173034637,0.45594880553219436,1.574638805802812,0.033847182687030436,11.80881388511682,1.0041900766115461,-0.13280026200205772,0.1269813879430619,-0.30690750698046304,0.3836482458532586,-0.2461691921668118,-0.042274588691801465,5.776523444636454,-2.0537135783611467
PEconomicallyInactive,0.08210609073441685,1.0738007605987265,-0.07506453987614675,3.0617378122704944,0.3002390791206375,-0.05005657839677853,1.8424847561026862,-1.338935367627625,0.40372289932244904,-0.09143319396205457,-0.3318782282001585,2.6226236853213925,0.6060049753333948,0.07324987440764473,-0.039032866734898225,0.8986028316608088,-0.5173937742132493,-1.039519966273941,-0.8894343758709135,-0.3320517257952766,0.5624144850324833
Pwhite,0.20342934090961562,-2.1701235599191633,0.26751330738009416,-0.6739027049040087,0.4484988881011224,-2.0185054857795333,-0.1851269831649033,-1.0968935210275397,-2.7367015318649717,-1.0002242377752122,-0.31751463412893965,0.11439423049781357,-0.27116524640333717,0.344500762047439,0.17416827569129287,0.5820390898692147,-0.2575297967298976,-1.0048621617448015,-1.909421920717249,0.1781634673613442,0.2681684129142512
Pother_ethnic,-0.20341221209995689,2.1698793078604672,-0.2675197783557871,0.6727670545734636,-0.4484612536666262,2.018444022914333,0.18493218523055197,1.0969257404316435,2.7365228428357473,1.000035567143715,0.31753031719865427,-0.11768486127923902,0.2707226968887053,-0.34449495122911455,-0.1742579242078466,-0.5820470874786274,0.25746725781079605,1.00486196812274,1.9093124491248106,-0.17856708416729422,-0.2681473583826017
Phousehold_notdeprived,-0.051119783702103586,-1.6844849135269757,0.23435799557676462,0.22929619916940247,-0.4704754381543586,-1.2982951769146713,0.094393133193301,0.4599821805194532,-1.4994591162315183,0.8277302841305318,-0.2557216004937395,0.8176441024493443,0.6719596489533632,0.23595518823766612,-0.8441929345599987,-0.4106655429920498,-0.279744683041433,0.6693194947911792,-0.5322281680401618,0.892019284521818,1.3026623676168607
Phousehold_deprived1D,0.10024794904407702,0.9419558362730265,-0.11866494409470764,-0.188601362735019,0.517237755302992,0.7900426958629306,-0.03391779963192809,-0.95598230630919,0.8117532629390993,-1.0388868229283064,0.007487362692964215,-0.760841465955335,-0.6229522055727928,-0.07435567627010309,0.584175673912412,0.7597993028301567,0.3235206221560038,-1.0589000795085903,0.14690272190490555,-0.5252734917356771,-1.303317906301849
